Name;Code;Q;Start;Dataset;LastUpdateDate;LastUpdateCount;MULT
Economic Activity, Oil Production, Crude, Percentage change, Corresponding period previous year, Percent;AOMPC_PC_CP_A_PT;1;1980;IFS;;;
Economic Activity, Oil Production, Crude, Percentage change, Previous period, Percent;AOMPC_PC_PP_PT;1;1980;IFS;;;
Indicators of Economic Activity, Retail Sales, Index;ARS_IX;1;1980;IFS;;;
Indicators of Economic Activity, Retail Sales, Percentage change, corresponding period previous year, Percent;ARS_PC_CP_A_PT;1;1980;IFS;;;
Indicators of Economic Activity, Retail Sales, Percentage change, previous period, Percent;ARS_PC_PP_PT;1;1980;IFS;;;
Exchange Rates, Domestic Currency per Euro, End of Period, Rate;ENEE_XDC_EUR_RATE;1;1980;IFS;;;
Exchange Rates, Domestic Currency per Dollar End of Period, Rate;ENDE_XDC_USD_RATE;1;1980;IFS;;;
Exchange Rates, Domestic Currency per Euro, Period Average, Rate;ENEA_XDC_EUR_RATE;1;1980;IFS;;;
Exchange Rates, Domestic Currency per Dollar Period Average, Rate;ENDA_XDC_USD_RATE;1;1980;IFS;;;
Exchange Rates, Nominal Effective Exchange Rate, Index;ENEER_IX;1;1980;IFS;;;
Exchange Rates, Nominal Effective Exchange Rate, Percentage change, Corresponding period previous year, Percent;ENEER_PC_CP_A_PT;1;1980;IFS;;;
Exchange Rates, Real Effective Exchange Rate based on Consumer Price Index, Index;EREER_IX;1;1980;IFS;;;
Exchange Rates, Real Effective Exchange Rate based on Consumer Price Index, Percentage change, Corresponding period previous year, Percent;EREER_PC_CP_A_PT;1;1980;IFS;;;
Financial, Interest Rates, Government Securities, Treasury Bills, Percent per annum;FITB_PA;1;1980;IFS;;;
Financial, Interest Rates Government Bond Yield, Per Cent Per Annum;FIGBY_PA;1;1980;IFS;;;
Financial, Interest Rates, Deposit, Foreign Currency, Percent per Annum;FIDR_FX_PA;1;1980;IFS;;;
Financial, Interest Rates, Deposit, Percent per annum;FIDR_PA;1;1980;IFS;;;
Financial, Interest Rates, Lending Rate, Foreign Currency, Percent per Annum;FILR_FX_PA;1;1980;IFS;;;
Financial, Interest Rates, Lending Rate, Percent per annum;FILR_PA;1;1980;IFS;;;
Financial, Interest Rates, Money Market, Foreign Currency, Percent per Annum;FIMM_FX_PA;1;1980;IFS;;;
Financial, Interest Rates, Money Market, Percent per annum;FIMM_PA;1;1980;IFS;;;
Financial, Interest Rates, Monetary Policy-Related Interest Rate, Percent per annum;FPOLM_PA;1;1980;IFS;;;
Monetary, M0, Domestic Currency;FM0_XDC;1;1980;IFS;;;
Monetary, M0, Euros;FM0_EUR;1;1980;IFS;;;
Monetary, M0, US Dollars;FM0_EUR;1;1980;IFS;;;
Monetary, M1, Domestic Currency;FM1_XDC;1;1980;IFS;;;
Monetary, M1, Euros;FM1_EUR;1;1980;IFS;;;
Monetary, M1, US Dollars;FM1_EUR;1;1980;IFS;;;
Monetary, M2, Domestic Currency;FM2_XDC;1;1980;IFS;;;
Monetary, M2, Euros;FM2_EUR;1;1980;IFS;;;
Monetary, M2, US Dollars;FM2_EUR;1;1980;IFS;;;
Monetary, M3, Domestic Currency;FM3_XDC;1;1980;IFS;;;
Monetary, M3, Euros;FM3_EUR;1;1980;IFS;;;
Monetary, M3, US Dollars;FM3_EUR;1;1980;IFS;;;
Monetary, Broad Money, Domestic Currency;FMB_XDC;1;1980;IFS;;;
Monetary, Central Bank Survey, Net Foreign Assets, Claims on Nonresidents, Domestic Currency;FASAF_XDC;1;1980;IFS;;;
Monetary, Central Bank Survey, Claims on Other Depository Corporations, Domestic Currency;FASAD_XDC;1;1980;IFS;;;
Monetary, Central Bank Survey, Net Claims on Central Government, Liabilities To Central Government, Domestic Currency;FASLG_XDC;1;1980;IFS;;;
Monetary, Central Bank Survey, Monetary Base, Domestic Currency;FASMB_XDC;1;1980;IFS;;;
International Reserves and Liquidity, Liquidity, Total Reserves excluding Gold, US Dollar;RAXG_USD;1;1980;IFS;;;
Monetary, Other Depository Corporations Survey, Net Foreign Assets, Domestic Currency;FOSF_XDC;1;1980;IFS;;;
Monetary, Other Depository Corporations Survey, Net Foreign Assets, Claims on Nonresidents, Domestic Currency;FOSAF_XDC;1;1980;IFS;;;
Monetary, Other Depository Corporations Survey, Net Foreign Assets, Liabilities to Nonresidents, Domestic Currency;FOSLF_XDC;1;1980;IFS;;;
Monetary, Other Depository Corporations Survey, Claims on Central Bank, Domestic Currency;FOSAA_XDC;1;1980;IFS;;;
Monetary, Other Depository Corporations Survey, Net Claims on Central Government, Domestic Currency;FOSG_XDC;1;1980;IFS;;;
Monetary, Other Depository Corporations Survey, Net Claims on Central Government, Claims on Central Government, Domestic Currency;FOSAG_XDC;1;1980;IFS;;;
Monetary, Other Depository Corporations Survey, Net Claims on Central Government, Liabilities to Central Government, Domestic Currency;FOSLG_XDC;1;1980;IFS;;;
Monetary, Other Depository Corporations Survey, Claims on Other Sectors, Domestic Currency;FOSAO_XDC;1;1980;IFS;;;
Monetary, Other Depository Corporations Survey, Claims on Other Sectors, Claims on Other Financial Corps, Domestic Currency;FOSAOF_XDC;1;1980;IFS;;;
Monetary, Other Depository Corporations Survey, Claims on Other Sectors, Claims on State & Local Govts, Domestic Currency;FOSAOG_XDC;1;1980;IFS;;;
Monetary, Other Depository Corporations Survey, Claims on Other Sectors, Claims on Public Nonfin. Corps, Domestic Currency;FOSAON_XDC;1;1980;IFS;;;
Monetary, Other Depository Corporations Survey, Claims on Other Sectors, Claims on Private Sector, Domestic Currency;FOSAOP_XDC;1;1980;IFS;;;
Monetary, Other Depository Corporations Survey, Liabilities to Central Bank, Domestic Currency;FOSLA_XDC;1;1980;IFS;;;
Monetary, Other Depository Corporations Survey, Transf.Dep.Included in Broad Money, Domestic Currency;FOST_XDC;1;1980;IFS;;;
Monetary, Other Depository Corporations Survey, Other Dep.Included in Broad Money, Domestic Currency;FOSD_XDC;1;1980;IFS;;;
Monetary, Other Depository Corporations Survey, Shares and Other Equity, Domestic Currency;FOSE_XDC;1;1980;IFS;;;
External Trade, Exports, Goods, Value, Volume , Free on Board, Index;TXG_R_FOB_IX;1;1980;IFS;;;
External Trade, Exports, Goods, Value, Volume , Cost, Insurance, Freight, Index;TMG_R_CIF_IX;1;1980;IFS;;;
External Trade, Exports, Goods, Value, Deflator/Unit Value, Free on Board, Index;TXG_D_FOB_IX;1;1980;IFS;;;
External Trade, Imports, Goods, Value, Deflator/Unit Value, Cost, Insurance, Freight, Index;TMG_D_CIF_IX;1;1980;IFS;;;
Balance of Payments, Current Account, US Dollars;BCAXF_BP6_USD;1;1980;BOP;;;
Balance of Payments, Current Account, Goods, credit (exports), US Dollars;BXG_BP6_USD;1;1980;BOP;;;
Balance of Payments, Current Account, Goods, debit (imports), US Dollars;BMG_BP6_USD;1;1980;BOP;;;
Balance of Payments, Current Account, Balance on goods, US Dollars;BG_BP6_USD;1;1980;BOP;;;
Balance of Payments, Current Account, Services, credit (exports), US Dollars;BXS_BP6_USD;1;1980;BOP;;;
Balance of Payments, Current Account, Services, debit (imports), US Dollars;BMS_BP6_USD;1;1980;BOP;;;
Balance of Payments, Current Account, Balance on goods & services, US Dollars;BGS_BP6_USD;1;1980;BOP;;;
Balance of Payments, Current Account, Primary income: credit, US Dollars;BXIP_BP6_USD;1;1980;BOP;;;
Balance of Payments, Current Account, Primary income: debit, US Dollars;BMIP_BP6_USD;1;1980;BOP;;;
Balance of Payments, Current Account, Balance on gds, serv. & prim. inc, US Dollars;BTGSI_BP6_USD;1;1980;BOP;;;
Balance of Payments, Current Account, Secondary income: credit, US Dollars;BXISXF_BP6_USD;1;1980;BOP;;;
Balance of Payments, Current Account, Secondary income: debit, US Dollars;BMIS_BP6_USD;1;1980;BOP;;;
Balance of Payments, Capital Account, US Dollars;BKAA_BP6_USD;1;1980;BOP;;;
Balance of Payments, Capital Account, Balance on current & capital acct, US Dollars;BTCC_BP6_USD;1;1980;BOP;;;
Balance of Payments, Financial Account, US Dollars;BFXF_BP6_USD;1;1980;BOP;;;
Balance of Payments, Financial Account, Direct investment: assets, US Dollars;BFDA_BP6_USD;1;1980;BOP;;;
Balance of Payments, Financial Account, Direct investment: assets, Equity & investment fund shares, US Dollars;BFDAE_BP6_USD;1;1980;BOP;;;
Balance of Payments, Financial Account, Direct investment: assets, Debt instruments, US Dollars;BFDAD_BP6_USD;1;1980;BOP;;;
Balance of Payments, Financial Account, Direct investment: liabilities, US Dollars;BFDLXF_BP6_USD;1;1980;BOP;;;
Balance of Payments, Financial Account, Direct investment: liabilities, Equity & investment fund shares, US Dollars;BFDLEXF_BP6_USD;1;1980;BOP;;;
Balance of Payments, Financial Account, Direct investment: liabilities, Debt instruments, US Dollars;BFDLDXF_BP6_USD;1;1980;BOP;;;
Balance of Payments, Financial Account, Portfolio investment: assets, US Dollars;BFPA_BP6_USD;1;1980;BOP;;;
Balance of Payments, Financial Account, Portfolio investment: assets, Equity & investment fund shares, US Dollars;BFPAE_BP6_USD;1;1980;BOP;;;
Balance of Payments, Financial Account, Portfolio investment: assets, Debt securities, US Dollars;BFPAD_BP6_USD;1;1980;BOP;;;
Balance of Payments, Financial Account, Portfolio investment: liabilities, US Dollars;BFPLXF_BP6_USD;1;1980;BOP;;;
Balance of Payments, Financial Account, Portfolio investment: liabilities, Equity & investment fund shares, US Dollars;BFPLEXF_BP6_USD;1;1980;BOP;;;
Balance of Payments, Financial Account, Portfolio investment: liabilities, Debt securities, US Dollars;BFPLDXF_BP6_USD;1;1980;BOP;;;
Balance of Payments, Financial Account, Fin. der.& empl.stk.ops.(ESOs): net, US Dollars;BFF_BP6_USD;1;1980;BOP;;;
Balance of Payments, Financial Account, Other investment: assets, US Dollars;BFOA_BP6_USD;1;1980;BOP;;;
Balance of Payments, Financial Account, Other investment: assets, Other equity, US Dollars;BFOAE_BP6_USD;1;1980;BOP;;;
Balance of Payments, Financial Account, Other investment: assets, Debt instruments, US Dollars;BFOAD_BP6_USD;1;1980;BOP;;;
Balance of Payments, Financial Account, Other investment: liabilities, US Dollars;BFOLXF_BP6_USD;1;1980;BOP;;;
Balance of Payments, Financial Account, Other investment: liabilities, Other equity, US Dollars;BFOLEXF_BP6_USD;1;1980;BOP;;;
