;country;time;value
423;BEL;1989-08-01;100.4883
151;BEL;1989-09-01;100.5367
141;BEL;1989-10-01;100.5313
351;BEL;1989-11-01;100.6072
126;BEL;1989-12-01;100.6598
293;BEL;1990-01-01;100.6863
493;BEL;1990-02-01;100.6915
277;BEL;1990-03-01;100.7313
24;BEL;1990-04-01;100.7399
86;BEL;1990-05-01;100.6713
407;BEL;1990-06-01;100.4769
484;BEL;1990-07-01;100.2575
149;BEL;1990-08-01;100.1093
87;BEL;1990-09-01;100.0508
367;BEL;1990-10-01;99.98986
226;BEL;1990-11-01;99.99103
6;BEL;1990-12-01;99.96033
428;BEL;1991-01-01;99.86707
557;BEL;1991-02-01;99.74664
420;BEL;1991-03-01;99.65444
334;BEL;1991-04-01;99.56328
27;BEL;1991-05-01;99.39986
522;BEL;1991-06-01;99.24745
332;BEL;1991-07-01;99.14692
71;BEL;1991-08-01;99.02621
61;BEL;1991-09-01;98.94017
296;BEL;1991-10-01;98.85686
392;BEL;1991-11-01;98.74355
113;BEL;1991-12-01;98.70579
194;BEL;1992-01-01;98.69657
54;BEL;1992-02-01;98.65162
72;BEL;1992-03-01;98.62407
270;BEL;1992-04-01;98.71788
208;BEL;1992-05-01;98.96214
232;BEL;1992-06-01;99.20328
437;BEL;1992-07-01;99.44615
234;BEL;1992-08-01;99.68259
345;BEL;1992-09-01;99.89935
526;BEL;1992-10-01;100.0369
170;BEL;1992-11-01;100.1626
464;BEL;1992-12-01;100.3753
364;BEL;1993-01-01;100.6239
268;BEL;1993-02-01;100.745
414;BEL;1993-03-01;100.7169
271;BEL;1993-04-01;100.6348
435;BEL;1993-05-01;100.6009
552;BEL;1993-06-01;100.5546
240;BEL;1993-07-01;100.5161
409;BEL;1993-08-01;100.5065
119;BEL;1993-09-01;100.4619
429;BEL;1993-10-01;100.3955
175;BEL;1993-11-01;100.2197
333;BEL;1993-12-01;99.95155
294;BEL;1994-01-01;99.67951
203;BEL;1994-02-01;99.37191
74;BEL;1994-03-01;99.07915
457;BEL;1994-04-01;98.96265
79;BEL;1994-05-01;98.94649
427;BEL;1994-06-01;98.91757
230;BEL;1994-07-01;98.89505
372;BEL;1994-08-01;98.91991
528;BEL;1994-09-01;98.88233
219;BEL;1994-10-01;98.85926
504;BEL;1994-11-01;98.90107
58;BEL;1994-12-01;99.04069
401;BEL;1995-01-01;99.18214
358;BEL;1995-02-01;99.30935
317;BEL;1995-03-01;99.44216
312;BEL;1995-04-01;99.46743
22;BEL;1995-05-01;99.36846
524;BEL;1995-06-01;99.25555
3;BEL;1995-07-01;99.13046
85;BEL;1995-08-01;99.09688
127;BEL;1995-09-01;99.15103
260;BEL;1995-10-01;99.24313
451;BEL;1995-11-01;99.33477
216;BEL;1995-12-01;99.4461
156;BEL;1996-01-01;99.53639
97;BEL;1996-02-01;99.68534
536;BEL;1996-03-01;99.77978
135;BEL;1996-04-01;99.93613
124;BEL;1996-05-01;100.2388
231;BEL;1996-06-01;100.5557
93;BEL;1996-07-01;100.7098
483;BEL;1996-08-01;100.7754
320;BEL;1996-09-01;100.7702
342;BEL;1996-10-01;100.6739
53;BEL;1996-11-01;100.5305
478;BEL;1996-12-01;100.3918
538;BEL;1997-01-01;100.3071
143;BEL;1997-02-01;100.309
272;BEL;1997-03-01;100.4417
550;BEL;1997-04-01;100.6763
36;BEL;1997-05-01;100.861
152;BEL;1997-06-01;100.8493
90;BEL;1997-07-01;100.7611
81;BEL;1997-08-01;100.632
174;BEL;1997-09-01;100.4318
274;BEL;1997-10-01;100.1937
242;BEL;1997-11-01;100.1724
65;BEL;1997-12-01;100.3023
482;BEL;1998-01-01;100.539
541;BEL;1998-02-01;100.8132
481;BEL;1998-03-01;101.1142
324;BEL;1998-04-01;101.3274
184;BEL;1998-05-01;101.477
387;BEL;1998-06-01;101.4565
125;BEL;1998-07-01;101.4092
542;BEL;1998-08-01;101.3587
228;BEL;1998-09-01;101.4226
264;BEL;1998-10-01;101.5572
213;BEL;1998-11-01;101.66
355;BEL;1998-12-01;101.729
218;BEL;1999-01-01;101.7445
325;BEL;1999-02-01;101.8523
56;BEL;1999-03-01;101.9569
340;BEL;1999-04-01;101.9071
37;BEL;1999-05-01;101.7116
29;BEL;1999-06-01;101.4636
539;BEL;1999-07-01;101.3268
140;BEL;1999-08-01;101.2684
468;BEL;1999-09-01;101.2649
495;BEL;1999-10-01;101.2914
91;BEL;1999-11-01;101.227
25;BEL;1999-12-01;100.982
363;BEL;2000-01-01;100.6322
422;BEL;2000-02-01;100.2591
467;BEL;2000-03-01;100.1468
319;BEL;2000-04-01;100.3328
425;BEL;2000-05-01;100.623
157;BEL;2000-06-01;100.879
144;BEL;2000-07-01;101.0209
465;BEL;2000-08-01;101.0917
265;BEL;2000-09-01;101.088
347;BEL;2000-10-01;101.0137
400;BEL;2000-11-01;100.9265
416;BEL;2000-12-01;100.8301
215;BEL;2001-01-01;100.7903
474;BEL;2001-02-01;100.7655
496;BEL;2001-03-01;100.6473
241;BEL;2001-04-01;100.3827
384;BEL;2001-05-01;100.0641
196;BEL;2001-06-01;99.87366
210;BEL;2001-07-01;99.84437
517;BEL;2001-08-01;100.0644
328;BEL;2001-09-01;100.3023
122;BEL;2001-10-01;100.4141
506;BEL;2001-11-01;100.4258
263;BEL;2001-12-01;100.4914
545;BEL;2002-01-01;100.6582
556;BEL;2002-02-01;100.7732
399;BEL;2002-03-01;100.8602
158;BEL;2002-04-01;100.8928
288;BEL;2002-05-01;100.9584
485;BEL;2002-06-01;101.0586
448;BEL;2002-07-01;101.0714
379;BEL;2002-08-01;101.0549
246;BEL;2002-09-01;101.0539
283;BEL;2002-10-01;101.0878
488;BEL;2002-11-01;101.0543
204;BEL;2002-12-01;101.0583
378;BEL;2003-01-01;101.0126
162;BEL;2003-02-01;100.9412
247;BEL;2003-03-01;100.8434
352;BEL;2003-04-01;100.7932
9;BEL;2003-05-01;100.8144
398;BEL;2003-06-01;100.8743
114;BEL;2003-07-01;100.8215
190;BEL;2003-08-01;100.5905
531;BEL;2003-09-01;100.3379
350;BEL;2003-10-01;100.1998
142;BEL;2003-11-01;100.1403
554;BEL;2003-12-01;100.1451
492;BEL;2004-01-01;100.1975
463;BEL;2004-02-01;100.3851
540;BEL;2004-03-01;100.5267
261;BEL;2004-04-01;100.6401
413;BEL;2004-05-01;100.7163
43;BEL;2004-06-01;100.7323
244;BEL;2004-07-01;100.7413
34;BEL;2004-08-01;100.7319
148;BEL;2004-09-01;100.7304
209;BEL;2004-10-01;100.81
515;BEL;2004-11-01;100.9115
154;BEL;2004-12-01;100.9588
302;BEL;2005-01-01;101.0635
11;BEL;2005-02-01;101.1714
73;BEL;2005-03-01;101.153
4;BEL;2005-04-01;101.0574
516;BEL;2005-05-01;100.9921
322;BEL;2005-06-01;100.9951
329;BEL;2005-07-01;101.0307
405;BEL;2005-08-01;101.0976
497;BEL;2005-09-01;101.1385
323;BEL;2005-10-01;101.1115
548;BEL;2005-11-01;101.0193
197;BEL;2005-12-01;100.8668
258;BEL;2006-01-01;100.6974
292;BEL;2006-02-01;100.4524
109;BEL;2006-03-01;100.1411
164;BEL;2006-04-01;99.95977
290;BEL;2006-05-01;99.82275
133;BEL;2006-06-01;99.76682
314;BEL;2006-07-01;99.69796
26;BEL;2006-08-01;99.54486
469;BEL;2006-09-01;99.34167
388;BEL;2006-10-01;99.15815
511;BEL;2006-11-01;99.13561
259;BEL;2006-12-01;99.26628
455;BEL;2007-01-01;99.3601
47;BEL;2007-02-01;99.27641
42;BEL;2007-03-01;99.17852
315;BEL;2007-04-01;99.08784
235;BEL;2007-05-01;99.10719
510;BEL;2007-06-01;99.09338
94;BEL;2007-07-01;99.16745
108;BEL;2007-08-01;99.35215
316;BEL;2007-09-01;99.59553
344;BEL;2007-10-01;99.85091
153;BEL;2007-11-01;100.0566
163;BEL;2007-12-01;100.2706
178;BEL;2008-01-01;100.4094
356;BEL;2008-02-01;100.4656
38;BEL;2008-03-01;100.495
130;BEL;2008-04-01;100.4065
191;BEL;2008-05-01;100.3098
306;BEL;2008-06-01;100.2548
253;BEL;2008-07-01;100.2866
62;BEL;2008-08-01;100.3198
182;BEL;2008-09-01;100.2735
139;BEL;2008-10-01;100.3306
361;BEL;2008-11-01;100.4691
535;BEL;2008-12-01;100.5854
410;BEL;2009-01-01;100.6354
397;BEL;2009-02-01;100.6846
51;BEL;2009-03-01;100.7191
385;BEL;2009-04-01;100.6665
434;BEL;2009-05-01;100.5416
30;BEL;2009-06-01;100.4721
16;BEL;2009-07-01;100.3352
439;BEL;2009-08-01;100.2594
444;BEL;2009-09-01;100.2734
357;BEL;2009-10-01;100.2147
491;BEL;2009-11-01;100.0921
479;BEL;2009-12-01;99.92088
377;BEL;2010-01-01;99.80418
512;BEL;2010-02-01;99.7834
486;BEL;2010-03-01;99.69011
433;BEL;2010-04-01;99.59895
69;BEL;2010-05-01;99.46095
7;BEL;2010-06-01;99.41769
207;BEL;2010-07-01;99.56306
480;BEL;2010-08-01;99.74953
555;BEL;2010-09-01;99.86092
150;BEL;2010-10-01;99.91859
383;BEL;2010-11-01;99.88641
519;BEL;2010-12-01;99.7664
470;BEL;2011-01-01;99.6031
5;BEL;2011-02-01;99.40833
289;BEL;2011-03-01;99.2828
257;BEL;2011-04-01;99.33214
375;BEL;2011-05-01;99.49971
279;BEL;2011-06-01;99.6288
330;BEL;2011-07-01;99.62949
136;BEL;2011-08-01;99.64228
477;BEL;2011-09-01;99.70287
17;BEL;2011-10-01;99.7433
287;BEL;2011-11-01;99.83807
15;BEL;2011-12-01;100.0939
249;BEL;2012-01-01;100.4574
380;BEL;2012-02-01;100.78
418;BEL;2012-03-01;101.0534
23;BEL;2012-04-01;101.2404
446;BEL;2012-05-01;101.3221
201;BEL;2012-06-01;101.2783
128;BEL;2012-07-01;101.1167
525;BEL;2012-08-01;100.9592
89;BEL;2012-09-01;100.9105
494;BEL;2012-10-01;100.895
280;BEL;2012-11-01;100.8172
251;BEL;2012-12-01;100.5912
305;BEL;2013-01-01;100.3294
168;BEL;2013-02-01;100.0674
262;BEL;2013-03-01;99.91444
221;BEL;2013-04-01;99.96616
102;BEL;2013-05-01;100.1796
547;BEL;2013-06-01;100.3908
161;BEL;2013-07-01;100.5057
394;BEL;2013-08-01;100.5396
476;BEL;2013-09-01;100.544
431;BEL;2013-10-01;100.4618
338;BEL;2013-11-01;100.3313
505;BEL;2013-12-01;100.1733
534;BEL;2014-01-01;100.0802
115;BEL;2014-02-01;100.1231
116;BEL;2014-03-01;100.2493
336;BEL;2014-04-01;100.3515
99;BEL;2014-05-01;100.3226
297;BEL;2014-06-01;100.2178
229;BEL;2014-07-01;100.117
532;BEL;2014-08-01;100.0341
331;BEL;2014-09-01;100.0038
84;BEL;2014-10-01;100.0672
199;BEL;2014-11-01;100.1766
64;BEL;2014-12-01;100.2571
110;BEL;2015-01-01;100.2513
403;BEL;2015-02-01;100.2473
346;BEL;2015-03-01;100.331
313;BEL;2015-04-01;100.3679
498;BEL;2015-05-01;100.4203
75;BEL;2015-06-01;100.474
146;BEL;2015-07-01;100.5666
286;BEL;2015-08-01;100.6229
299;BEL;2015-09-01;100.6406
214;BEL;2015-10-01;100.6759
188;BEL;2015-11-01;100.7979
192;BEL;2015-12-01;100.9143
12;BEL;2016-01-01;101.0669
55;BEL;2016-02-01;101.1901
458;BEL;2016-03-01;101.2092
520;BEL;2016-04-01;101.1537
223;BEL;2016-05-01;101.0832
371;BEL;2016-06-01;101.0168
507;BEL;2016-07-01;100.9901
189;BEL;2016-08-01;100.8984
129;BEL;2016-09-01;100.7461
544;BEL;2016-10-01;100.558
145;BEL;2016-11-01;100.4752
546;BEL;2016-12-01;100.4555
95;BEL;2017-01-01;100.4959
402;BEL;2017-02-01;100.4848
233;BEL;2017-03-01;100.315
452;BEL;2017-04-01;100.062
19;BEL;2017-05-01;99.90302
382;BEL;2017-06-01;99.89581
391;BEL;2017-07-01;99.99876
18;BEL;2017-08-01;100.0917
195;BEL;2017-09-01;100.1241
459;BEL;2017-10-01;100.0915
461;BEL;2017-11-01;102.1863
509;BEL;2017-12-01;102.0696
475;BEL;2018-01-01;101.9671
373;BEL;2018-02-01;101.8845
66;BEL;2018-03-01;101.9216
501;BEL;2018-04-01;102.0761
281;BEL;2018-05-01;102.2064
40;BEL;2018-06-01;102.2953
187;BEL;2018-07-01;102.3196
239;BEL;2018-08-01;102.1616
303;BEL;2018-09-01;101.7236
256;BEL;2018-10-01;101.0862
176;BEL;2018-11-01;100.6673
327;BEL;2018-12-01;100.4664
35;BEL;2019-01-01;100.3437
222;BEL;2019-02-01;100.2212
63;BEL;2019-03-01;100.0661
366;BEL;2019-04-01;99.87364
309;BEL;2019-05-01;99.68315
77;BEL;2019-06-01;99.49157
131;RUS;1997-03-01;89.66551
239;RUS;1997-04-01;90.20705
31;RUS;1997-05-01;90.72594
118;RUS;1997-06-01;91.17376
75;RUS;1997-07-01;91.49585
68;RUS;1997-08-01;91.72192
141;RUS;1997-09-01;91.87469
0;RUS;1997-10-01;91.97459
213;RUS;1997-11-01;92.11774
103;RUS;1997-12-01;92.45296
178;RUS;1998-01-01;93.11555
231;RUS;1998-02-01;93.96896
177;RUS;1998-03-01;94.86519
37;RUS;1998-04-01;95.71447
147;RUS;1998-05-01;96.51195
88;RUS;1998-06-01;96.08982
98;RUS;1998-07-01;96.91165
233;RUS;1998-08-01;97.66091
109;RUS;1998-09-01;98.19445
140;RUS;1998-10-01;98.37302
180;RUS;1998-11-01;98.35157
60;RUS;1998-12-01;98.29764
1;RUS;1999-01-01;98.30988
42;RUS;1999-02-01;98.36901
48;RUS;1999-03-01;98.42853
47;RUS;1999-04-01;98.45856
32;RUS;1999-05-01;98.48937
26;RUS;1999-06-01;98.58121
151;RUS;1999-07-01;98.79362
112;RUS;1999-08-01;99.09354
165;RUS;1999-09-01;99.45183
196;RUS;1999-10-01;99.85228
2;RUS;1999-11-01;100.2422
97;RUS;1999-12-01;100.544
183;RUS;2000-01-01;100.6768
211;RUS;2000-02-01;100.6671
164;RUS;2000-03-01;100.5154
72;RUS;2000-04-01;100.2061
128;RUS;2000-05-01;99.85963
240;RUS;2000-06-01;99.62917
210;RUS;2000-07-01;99.63561
162;RUS;2000-08-01;99.78609
191;RUS;2000-09-01;99.97343
90;RUS;2000-10-01;100.1316
101;RUS;2000-11-01;100.2544
122;RUS;2000-12-01;100.3402
182;RUS;2001-01-01;100.372
171;RUS;2001-02-01;100.335
195;RUS;2001-03-01;100.1842
65;RUS;2001-04-01;99.8819
217;RUS;2001-05-01;99.54831
159;RUS;2001-06-01;99.35194
55;RUS;2001-07-01;99.43138
152;RUS;2001-08-01;99.6797
38;RUS;2001-09-01;99.97399
96;RUS;2001-10-01;100.2359
206;RUS;2001-11-01;100.4464
232;RUS;2001-12-01;100.5895
235;RUS;2002-01-01;100.6482
46;RUS;2002-02-01;100.6669
137;RUS;2002-03-01;100.6931
86;RUS;2002-04-01;100.7582
52;RUS;2002-05-01;100.8517
66;RUS;2002-06-01;100.9591
197;RUS;2002-07-01;101.0709
78;RUS;2002-08-01;101.1787
219;RUS;2002-09-01;101.2662
5;RUS;2002-10-01;101.3043
185;RUS;2002-11-01;101.2666
41;RUS;2002-12-01;101.0914
132;RUS;2003-01-01;100.7193
133;RUS;2003-02-01;100.2683
220;RUS;2003-03-01;99.89108
58;RUS;2003-04-01;99.71114
8;RUS;2003-05-01;99.68522
100;RUS;2003-06-01;99.78324
95;RUS;2003-07-01;100.0142
155;RUS;2003-08-01;100.328
154;RUS;2003-09-01;100.6939
56;RUS;2003-10-01;101.095
215;RUS;2003-11-01;101.4716
3;RUS;2003-12-01;101.7322
190;RUS;2004-01-01;101.7882
161;RUS;2004-02-01;101.7057
15;RUS;2004-03-01;101.5467
203;RUS;2004-04-01;101.3477
119;RUS;2004-05-01;101.1769
228;RUS;2004-06-01;101.1261
200;RUS;2004-07-01;101.2765
28;RUS;2004-08-01;101.543
120;RUS;2004-09-01;101.8331
176;RUS;2004-10-01;102.0891
209;RUS;2004-11-01;102.3066
126;RUS;2004-12-01;102.4854
121;RUS;2005-01-01;102.6168
11;RUS;2005-02-01;102.7114
62;RUS;2005-03-01;102.7706
4;RUS;2005-04-01;102.795
106;RUS;2005-05-01;102.828
36;RUS;2005-06-01;102.9316
91;RUS;2005-07-01;103.1533
202;RUS;2005-08-01;103.4224
198;RUS;2005-09-01;103.6374
49;RUS;2005-10-01;103.7055
205;RUS;2005-11-01;103.637
189;RUS;2005-12-01;103.4254
227;RUS;2006-01-01;103.0644
13;RUS;2006-02-01;102.7081
222;RUS;2006-03-01;102.5687
135;RUS;2006-04-01;102.8091
10;RUS;2006-05-01;103.2194
107;RUS;2006-06-01;103.5319
29;RUS;2006-07-01;103.5677
23;RUS;2006-08-01;103.4795
166;RUS;2006-09-01;103.4691
57;RUS;2006-10-01;103.6285
92;RUS;2006-11-01;103.7027
73;RUS;2006-12-01;103.2397
229;RUS;2007-01-01;101.8252
39;RUS;2007-02-01;99.85407
35;RUS;2007-03-01;97.78294
30;RUS;2007-04-01;95.93855
34;RUS;2007-05-01;94.4266
238;RUS;2007-06-01;93.4315
79;RUS;2007-07-01;93.18374
87;RUS;2007-08-01;93.41035
123;RUS;2007-09-01;93.89162
51;RUS;2007-10-01;94.54342
22;RUS;2007-11-01;95.2448
134;RUS;2007-12-01;95.90705
143;RUS;2008-01-01;96.4931
61;RUS;2008-02-01;97.07609
33;RUS;2008-03-01;97.7682
102;RUS;2008-04-01;98.65252
156;RUS;2008-05-01;99.6058
25;RUS;2008-06-01;100.4439
221;RUS;2008-07-01;100.9981
169;RUS;2008-08-01;101.3069
145;RUS;2008-09-01;101.3708
111;RUS;2008-10-01;101.1521
212;RUS;2008-11-01;100.8204
224;RUS;2008-12-01;100.5589
113;RUS;2009-01-01;100.4846
99;RUS;2009-02-01;100.4975
54;RUS;2009-03-01;100.4583
84;RUS;2009-04-01;100.2783
225;RUS;2009-05-01;100.0616
27;RUS;2009-06-01;99.97603
160;RUS;2009-07-01;100.1612
142;RUS;2009-08-01;100.5049
89;RUS;2009-09-01;100.87
127;RUS;2009-10-01;101.1623
188;RUS;2009-11-01;101.3778
237;RUS;2009-12-01;101.5159
108;RUS;2010-01-01;101.5701
208;RUS;2010-02-01;101.5959
67;RUS;2010-03-01;101.6564
139;RUS;2010-04-01;101.7966
59;RUS;2010-05-01;101.9832
77;RUS;2010-06-01;102.1696
172;RUS;2010-07-01;102.3163
83;RUS;2010-08-01;102.4093
168;RUS;2010-09-01;102.4171
129;RUS;2010-10-01;102.3008
81;RUS;2010-11-01;102.1086
148;RUS;2010-12-01;101.8866
167;RUS;2011-01-01;101.6653
6;RUS;2011-02-01;101.4749
9;RUS;2011-03-01;101.3615
114;RUS;2011-04-01;101.3709
76;RUS;2011-05-01;101.4563
69;RUS;2011-06-01;101.5719
43;RUS;2011-07-01;101.6905
110;RUS;2011-08-01;101.791
173;RUS;2011-09-01;101.8422
18;RUS;2011-10-01;101.806
7;RUS;2011-11-01;101.6885
16;RUS;2011-12-01;101.4738
226;RUS;2012-01-01;101.1385
216;RUS;2012-02-01;100.7626
124;RUS;2012-03-01;100.4542
21;RUS;2012-04-01;100.3124
146;RUS;2012-05-01;100.3243
163;RUS;2012-06-01;100.5068
149;RUS;2012-07-01;100.8945
218;RUS;2012-08-01;101.3575
174;RUS;2012-09-01;101.7283
193;RUS;2012-10-01;101.8536
158;RUS;2012-11-01;101.7388
201;RUS;2012-12-01;101.3192
24;RUS;2013-01-01;100.4721
138;RUS;2013-02-01;99.33353
153;RUS;2013-03-01;98.01229
192;RUS;2013-04-01;96.59618
85;RUS;2013-05-01;95.3404
74;RUS;2013-06-01;94.64201
130;RUS;2013-07-01;94.85412
230;RUS;2013-08-01;95.54268
17;RUS;2013-09-01;96.20107
136;RUS;2013-10-01;96.48837
45;RUS;2013-11-01;96.49767
71;RUS;2013-12-01;96.36583
223;RUS;2014-01-01;96.16118
93;RUS;2014-02-01;95.91241
179;RUS;2014-03-01;95.60724
44;RUS;2014-04-01;95.23531
144;RUS;2014-05-01;94.88734
115;RUS;2014-06-01;94.7152
204;RUS;2014-07-01;94.86794
194;RUS;2014-08-01;95.25211
125;RUS;2014-09-01;95.79086
175;RUS;2014-10-01;96.45168
20;RUS;2014-11-01;97.11956
40;RUS;2014-12-01;97.65694
94;RUS;2015-01-01;97.9567
105;RUS;2015-02-01;98.12551
53;RUS;2015-03-01;98.28717
184;RUS;2015-04-01;98.51662
150;RUS;2015-05-01;98.78138
63;RUS;2015-06-01;99.02094
117;RUS;2015-07-01;99.19098
82;RUS;2015-08-01;99.33266
19;RUS;2015-09-01;99.50562
181;RUS;2015-10-01;99.74924
187;RUS;2015-11-01;100.0126
157;RUS;2015-12-01;100.22
12;RUS;2016-01-01;100.3162
50;RUS;2016-02-01;100.368
186;RUS;2016-03-01;100.4682
70;RUS;2016-04-01;100.6838
14;RUS;2016-05-01;100.9557
214;RUS;2016-06-01;101.1919
207;RUS;2016-07-01;101.3047
199;RUS;2016-08-01;101.2836
170;RUS;2016-09-01;101.0819
234;RUS;2016-10-01;100.6387
116;RUS;2016-11-01;100.0797
236;RUS;2016-12-01;99.54298
80;RUS;2017-01-01;99.12042
104;RUS;2017-02-01;98.77612
64;RUS;2017-03-01;98.46021
