Name;Code;Freq;Start;Dataset;LastUpdateDate;LastUpdateCount;MULT
;AIP_IX ;M;1980;IFS;;;
;PCPI_IX;M;1980;IFS;;;
;FM2_XDC;M;1980;IFS;;;
;FPE_IX;M;1980;IFS;;;
;xm_gdp;M;1980;PCTOT;;;
;AIP_SA_IX;M;1980;IFS;;;
